exercise_id,name,description,duration_sec,objective,difficulty,intensity,noise_level,sweat_factor,is_clothing_safe,posture_benefit,injury_risk,discreetness,time_to_start,energy_type,tools,video_link,image_url
1,"Seated Leg Raises","Straighten one leg at a time while sitting to engage the quadriceps.",45,"Strength","Easy","Low","Silent","None",true,"Moderate","Low","High","None","Neutral","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
2,"Seated Knee-to-Chest","Pull one knee toward your chest while sitting to activate the abdominal muscles.",60,"Strength","Medium","Low","Low","Low",true,"Moderate","Low","Moderate","None","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
3,"Seated Reverse Crunches","Lift both knees together toward your chest while holding the chair for stability.",60,"Strength","Hard","Moderate","Low","Low",true,"Low","Low","Moderate","None","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
4,"Seated Spine Twists","Rotate your torso slowly from side to side while seated to stretch the back.",60,"Stretch","Easy","Very Low","Silent","None",true,"Very High","Low","High","None","Relaxing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
5,"Seated Glute Squeezes","Contract and hold your gluteal muscles while sitting to activate the posterior chain.",60,"Activate","Easy","Low","Silent","None",true,"Low","Low","High","None","Neutral","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
6,"Seated Flutter Kicks","Extend legs and move them up and down in a small, rapid motion while seated.",60,"Burn","Medium","Moderate","Noticeable","Low",true,"Moderate","Low","Moderate","None","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
7,"Seated Figure-4 Stretch","Cross one ankle over the opposite knee and lean forward to stretch the hips.",120,"Stretch","Easy","Very Low","Silent","None",true,"High","Low","High","None","Relaxing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
8,"Seated Calf Raises","Lift your heels off the ground while sitting to activate the calf muscles.",60,"Activate","Easy","Very Low","Silent","None",true,"Low","Low","High","None","Neutral","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
9,"Seated Shoulder Shrugs","Lift your shoulders toward your ears and release to relieve tension in the traps.",45,"Mobility","Easy","Very Low","Silent","None",true,"High","Low","High","None","Relaxing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
10,"Seated Cat-Cow","Arch and round your back while seated to improve spinal mobility.",60,"Mobility","Easy","Very Low","Low","None",true,"Very High","Low","Moderate","None","Relaxing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
11,"Seated Bicep Curls","Mimic a curling motion with your arms to engage the biceps while sitting.",60,"Build","Easy","Low","Low","Low",true,"Low","Low","High","Very Low","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
12,"Magic Carpet Ride","Lift your body off the chair using your arms and core for an isometric hold.",30,"Strength","Hard","High","Silent","Low",true,"Moderate","Moderate","Low","None","Energizing","Chair","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
13,"Desk Push-ups","Perform a push-up leaning against the edge of a sturdy desk.",60,"Strength","Medium","Moderate","Noticeable","Moderate",true,"Moderate","Moderate","Low","None","Energizing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
14,"Desk Plank","Hold a plank position with your forearms resting on the desk surface.",60,"Stability","Medium","Moderate","Silent","Low",true,"High","Low","Moderate","None","Neutral","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
15,"Desk Tricep Dips","Use the edge of the desk to lower and raise your body using your triceps.",60,"Build","Hard","High","Noticeable","Moderate",true,"Low","Moderate","Low","None","Energizing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
16,"Desk Chest Stretch","Place hands on the desk and step back, dropping your head between arms to stretch the chest.",45,"Stretch","Easy","Very Low","Silent","None",true,"Very High","Low","Moderate","None","Relaxing","Desk","","https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?auto=format&fit=crop&q=80&w=400&h=300"
